[diag] 10000000 FPS | 0.000 ms/frame | 98 draws | 10 entities
[diag] 587217 FPS | 54.91 ms/frame | 98 draws | 10 entities
[diag] 31739 FPS | 58.11 ms/frame | 98 draws | 10 entities
[diag] 1731 FPS | 58.10 ms/frame | 98 draws | 10 entities
[diag] 110 FPS | 58.90 ms/frame | 98 draws | 10 entities
[diag] 22 FPS | 59.00 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 59.37 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 58.23 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 58.65 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 58.58 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 56.68 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 59.48 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 56.68 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 57.29 ms/frame | 98 draws | 10 entities
[diag] 10000000 FPS | 0.000 ms/frame | 98 draws | 10 entities
[diag] 587217 FPS | 55.90 ms/frame | 98 draws | 10 entities
[diag] 31739 FPS | 60.46 ms/frame | 98 draws | 10 entities
[diag] 2041 FPS | 61.46 ms/frame | 98 draws | 10 entities
[diag] 136 FPS | 60.51 ms/frame | 98 draws | 10 entities
[diag] 24 FPS | 60.26 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 57.15 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 60.50 ms/frame | 98 draws | 10 entities
[diag] 17 FPS | 60.27 ms/frame | 98 draws | 10 entities
[diag] 21 FPS | 44.38 ms/frame | 98 draws | 10 entities
[diag] 23 FPS | 42.87 ms/frame | 98 draws | 10 entities
[diag] 22 FPS | 42.90 ms/frame | 98 draws | 10 entities
[diag] 23 FPS | 43.43 ms/frame | 98 draws | 10 entities
[diag] 23 FPS | 42.58 ms/frame | 98 draws | 10 entities
[diag] 22 FPS | 43.80 ms/frame | 98 draws | 10 entities
[diag] 15 FPS | 196.1 ms/frame | 99 draws | 10 entities
[diag] 9 FPS | 277.2 ms/frame | 110 draws | 10 entities
[diag] 10 FPS | 97.52 ms/frame | 110 draws | 10 entities
[diag] 17 FPS | 48.42 ms/frame | 98 draws | 10 entities
[diag] 20 FPS | 53.08 ms/frame | 98 draws | 10 entities
[diag] 19 FPS | 305.2 ms/frame | 99 draws | 10 entities
[diag] 11 FPS | 198.2 ms/frame | 99 draws | 10 entities
[diag] 7 FPS | 195.4 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 194.9 ms/frame | 99 draws | 10 entities
